product_title,shopify_product_id
Berry Crush - 2 Items,4366057209914
Berry Crush - 3 Items,4366057406522
Berry Crush - 5 Items,4366057963578
Bootcamp Beauty - 2 Items,4495532490810
Bootcamp Beauty - 3 Items,4495533342778
Bootcamp Beauty - 5 Items,4495534522426
Bright Idea - 2 Items,4494808875066
Bright Idea - 3 Items,4494809432122
Bright Idea - 5 Items,4494810087482
Cloud Nine - 5 Items,4466296094778
Coastal Cool - 3 Items,4465962647610
Ellie Picks - 3 Items,4399742746682
Ellie Picks - 5 Items,4399742910522
Emerald Tide - 3 Items,4466306613306
Hibiscus Love - 2 Items,4494807007290
Hibiscus Love - 3 Items,4494807302202
Hibiscus Love - 5 Items,4494808219706
Hillside Hike - 2 Items,4494815723578
Hillside Hike - 3 Items,4494816018490
Hillside Hike - 3 Items Auto renew,4494816018490
Hillside Hike - 5 Items,4494817034298
Laguna Getaway - 2 Items,4495551397946
Laguna Getaway - 3 Items,4495555231802
Laguna Getaway - 5 Items,4495556706362
Making Moves - 3 Items,4398463516730
Making Moves - 5 Items,4398463877178
Moonlight Rose - 2 Items,4495535734842
Moonlight Rose - 3 Items,4495537635386
Moonlight Rose - 3 Items Auto renew,4495537635386
Moonlight Rose - 5 Items,4495548743738
Natural Fit - 3 Items,4428899516474
Off The Grid - 3 Items,4465970839610
One More Mile - 2 Items Auto renew,4494832042042
One More Mile - 3 Items,4495516991546
One More Mile - 3 Items Auto renew,4495516991546
Ooh La Lavender - 2 Items,4494810513466
Ooh La Lavender - 3 Items,4494811070522
Ooh La Lavender - 5 Items,4494812184634
Papaya Summer - 3 Items,4466290720826
Paradise Cove - 3 Items,4366058782778
Peach Sorbet - 2 Items,4494814019642
Peach Sorbet - 3 Items,4494814216250
Peach Sorbet - 3 Items Auto renew,4494814216250
Peach Sorbet - 5 Items,4494815330362
Peachy Keen - 3 Items,4466303762490
Pinky Swear - 2 Items,4429078659130
Pinky Swear - 3 Items,4429079576634
Renewal - 2 Items,4494771486778
Renewal - 2 Items Auto renew,4494771486778
Renewal - 3 Items,4494771978298
Renewal - 3 Items Auto renew,4494771978298
Renewal - 5 Items,4494774370362
Roll The Dye - 3 Items,4466297929786
Serve It Up - 2 Items,4494801666106
Serve It Up - 3 Items,4494804746298
Serve It Up - 5 Items,4494806712378
Summer Sunset - 2 Items,4489681862714
Summer Sunset - 3 Items,4489682452538
Summer Sunset - 5 Items,4489685401658
Summer Sunset - 5 Items Auto renew,4489685401658
Twilight - 3 Items,4494783381562
Twilight - 3 Items Auto renew,4494783381562
Twilight - 5 Items,4494784757818
Twilight - 5 Items Auto renew,4494784757818
Wild Instinct - 2 Items,4494787018810
Wild Instinct - 3 Items,4494787805242
Wild Instinct - 5 Items,4494788886586
Wild Instinct - 5 Items Auto renew,4494788886586
Wind Breaker - 3 Items,4466300452922
