product_title,shopify_product_id,prod_type
& Chill - 2 Items,4541689593914,2
& Chill - 3 Items,4541689856058,3
& Chill - 5 Items,4541690282042,5
A New Gray - 2 Items,4519377961018,2
A New Gray - 3 Items,4519378059322,3
A New Gray - 5 Items,4519378387002,5
Blush Dreams - 2 Items,4519458799674,2
Blush Dreams - 3 Items,4519459323962,3
Blush Dreams - 5 Items,4519487569978,5
City Limits - 3 Items,4366061174842,3
Color Pop - 3 Items,4522218684474,3
Color Pop - 5 Items,4522231005242,5
Cupids Kiss - 5 Items,4382378360890,5
Free Fall - 2 Items,4541679042618,2
Free Fall - 3 Items,4541679108154,3
Free Fall - 5 Items,4541679599674,5
Heart Felt - 3 Items,4541684744250,3
Heart Felt - 5 Items,4541685858362,5
Incognito - 2 Items,4543534530618,2
Incognito - 3 Items,4543534792762,3
Incognito - 5 Items,4543535087674,5
Laguna Getaway - 2 Items,4495551397946,2
Laguna Getaway - 3 Items,4495555231802,3
Lunar Flare - 2 Items,4541682417722,2
Lunar Flare - 3 Items,4541682778170,3
Lunar Flare - 3 Items Auto renew,4541682778170,3
Lunar Flare - 5 Items,4541683269690,5
Mint Condition - 2 Items,4543538561082,2
Mint Condition - 3 Items,4543538757690,3
Mint Condition - 5 Items,4543539118138,5
Moonlight Rose - 2 Items,4495535734842,2
Moonlight Rose - 3 Items,4495537635386,3
Moonlight Rose - 5 Items,4495548743738,5
Nightfall - 3 Items,4519392870458,3
Olive Grove - 3 Items,4519443431482,3
Pacific Crest - 2 Items,4542914854970,2
Pacific Crest - 3 Items,4542914953274,3
Pacific Crest - 5 Items,4543533383738,5
Press Paws - 2 Items,4541686841402,2
Press Paws - 3 Items,4541686972474,3
Press Paws - 5 Items,4541687496762,5
Second Skin - 2 Items,2525983866938,2
Second Skin - 3 Items,2525983998010,3
Second Skin - 5 Items,2525984456762,5
Solar Flare - 2 Items,4541680418874,2
Solar Flare - 3 Items,4541680549946,3
Solar Flare - 3 Items Auto renew,4541680549946,3
Solar Flare - 5 Items,4541681107002,5
Urban Instinct - 2 Items,4541675896890,2
Urban Instinct - 2 Items Auto renew,4541675896890,2
Urban Instinct - 3 Items,4541676093498,3
Urban Instinct - 5 Items,4541677895738,5
Urban Instinct - 5 Items Auto renew,4541677895738,5
Wild Instinct - 3 Items,4494787805242,3
Wine Not - 2 Items,4541693722682,2
Wine Not - 3 Items,4541693788218,3
Wine Not - 3 Items Auto renew,4541693788218,3
Wine Not - 5 Items,4541710467130,5
